LSOA21CD,IMD_Decile,group_key,accessibility_score,group,imd
E01000908,3,older_walk_index,29.2666666666667,Older adults,3
E01000909,7,older_walk_index,39.2,Older adults,7
E01000910,8,older_walk_index,44.5333333333333,Older adults,8
E01000911,6,older_walk_index,52.2,Older adults,6
E01000912,4,older_walk_index,21.2,Older adults,4
E01000913,8,older_walk_index,5.06666666666667,Older adults,8
E01000914,7,older_walk_index,70.2666666666667,Older adults,7
E01000915,4,older_walk_index,70.9333333333333,Older adults,4
E01000916,5,older_walk_index,62.4,Older adults,5
E01000917,2,older_walk_index,63.4,Older adults,2
E01000918,5,older_walk_index,71.4,Older adults,5
E01000919,4,older_walk_index,75,Older adults,4
E01000920,6,older_walk_index,72.3333333333333,Older adults,6
E01000921,6,older_walk_index,62.9333333333334,Older adults,6
E01000922,4,older_walk_index,63.5333333333333,Older adults,4
E01000923,5,older_walk_index,67.4,Older adults,5
E01000924,7,older_walk_index,59.4666666666667,Older adults,7
E01000925,3,older_walk_index,65.6,Older adults,3
E01000926,6,older_walk_index,50.4666666666667,Older adults,6
E01000927,6,older_walk_index,69.5333333333333,Older adults,6
E01000928,5,older_walk_index,60.7333333333333,Older adults,5
E01000929,4,older_walk_index,44.8,Older adults,4
E01000930,3,older_walk_index,64.5333333333334,Older adults,3
E01000931,2,older_walk_index,53.4,Older adults,2
E01000932,5,older_walk_index,44.1333333333333,Older adults,5
E01000933,4,older_walk_index,42.6666666666667,Older adults,4
E01000934,2,older_walk_index,42.4666666666667,Older adults,2
E01000935,3,older_walk_index,37.9333333333333,Older adults,3
E01000937,6,older_walk_index,71.4,Older adults,6
E01000938,2,older_walk_index,57,Older adults,2
E01000939,2,older_walk_index,68.9333333333333,Older adults,2
E01000941,2,older_walk_index,75.2666666666667,Older adults,2
E01000942,6,older_walk_index,71.5333333333334,Older adults,6
E01000943,5,older_walk_index,74.6,Older adults,5
E01000944,4,older_walk_index,72,Older adults,4
E01000946,6,older_walk_index,55.5333333333334,Older adults,6
E01000947,4,older_walk_index,82.4666666666667,Older adults,4
E01000948,3,older_walk_index,39.0666666666667,Older adults,3
E01000949,5,older_walk_index,66.4666666666667,Older adults,5
E01000951,2,older_walk_index,75.1333333333334,Older adults,2
E01000952,2,older_walk_index,47.2,Older adults,2
E01000954,2,older_walk_index,49.1333333333333,Older adults,2
E01000955,3,older_walk_index,67,Older adults,3
E01000956,2,older_walk_index,65.5333333333333,Older adults,2
E01000957,4,older_walk_index,41.1333333333333,Older adults,4
E01000958,4,older_walk_index,40.2666666666667,Older adults,4
E01000959,2,older_walk_index,63.6666666666667,Older adults,2
E01000960,6,older_walk_index,59.2666666666667,Older adults,6
E01000961,4,older_walk_index,53.0666666666667,Older adults,4
E01000962,9,older_walk_index,28.6666666666667,Older adults,9
E01000963,8,older_walk_index,57.8666666666667,Older adults,8
E01000964,5,older_walk_index,22.9333333333333,Older adults,5
E01000965,6,older_walk_index,23.3333333333333,Older adults,6
E01000966,9,older_walk_index,17.7333333333333,Older adults,9
E01000967,8,older_walk_index,19.4,Older adults,8
E01000968,6,older_walk_index,35.7333333333333,Older adults,6
E01000969,9,older_walk_index,28.7333333333333,Older adults,9
E01000970,8,older_walk_index,65.2,Older adults,8
E01000971,9,older_walk_index,62,Older adults,9
E01000972,3,older_walk_index,34.2666666666667,Older adults,3
E01000973,5,older_walk_index,57.2666666666667,Older adults,5
E01000974,4,older_walk_index,41.2,Older adults,4
E01000975,5,older_walk_index,28.6666666666667,Older adults,5
E01000976,4,older_walk_index,57.4,Older adults,4
E01000977,3,older_walk_index,24.8666666666667,Older adults,3
E01000978,5,older_walk_index,23.2666666666667,Older adults,5
E01000979,6,older_walk_index,35,Older adults,6
E01000980,4,older_walk_index,31.3333333333333,Older adults,4
E01000981,7,older_walk_index,36,Older adults,7
E01000982,5,older_walk_index,43.4666666666667,Older adults,5
E01000983,7,older_walk_index,37.8666666666667,Older adults,7
E01000984,3,older_walk_index,50.6666666666667,Older adults,3
E01000985,8,older_walk_index,24.1333333333333,Older adults,8
E01000986,7,older_walk_index,36.3333333333333,Older adults,7
E01000987,8,older_walk_index,31.2666666666667,Older adults,8
E01000989,7,older_walk_index,23.9333333333333,Older adults,7
E01000990,2,older_walk_index,23.6666666666667,Older adults,2
E01000991,8,older_walk_index,16.8,Older adults,8
E01000992,3,older_walk_index,16.6,Older adults,3
E01000993,7,older_walk_index,42.1333333333333,Older adults,7
E01000994,5,older_walk_index,33.0666666666667,Older adults,5
E01000995,5,older_walk_index,64.3333333333333,Older adults,5
E01000996,5,older_walk_index,28.0666666666667,Older adults,5
E01000997,4,older_walk_index,20.3333333333333,Older adults,4
E01000998,3,older_walk_index,48,Older adults,3
E01000999,4,older_walk_index,41.0666666666667,Older adults,4
E01001000,3,older_walk_index,35.8,Older adults,3
E01001001,2,older_walk_index,19.0666666666667,Older adults,2
E01001002,4,older_walk_index,13.2,Older adults,4
E01001003,4,older_walk_index,16.6666666666667,Older adults,4
E01001004,3,older_walk_index,28.7333333333333,Older adults,3
E01001005,4,older_walk_index,46.5333333333333,Older adults,4
E01001006,3,older_walk_index,28.8,Older adults,3
E01001007,5,older_walk_index,21.6,Older adults,5
E01001008,3,older_walk_index,28.3333333333333,Older adults,3
E01001009,4,older_walk_index,42,Older adults,4
