LSOA21CD,LSOA21NM,Total,Aged 4 years and under,Aged 5 to 9 years,Aged 10 to 15 years,Aged 16 to 19 years,Aged 20 to 24 years,Aged 25 to 34 years,Aged 35 to 49 years,Aged 50 to 64 years,Aged 65 to 74 years,Aged 75 to 84 years,Aged 85 years and over
E01000271,Barnet 008A,1637,80,80,118,74,64,189,330,336,175,116,75
E01000272,Barnet 008B,1426,59,68,110,60,50,121,287,282,175,127,87
E01000273,Barnet 008C,1669,90,79,91,47,81,255,360,318,155,122,71
E01000274,Barnet 011C,1936,100,124,183,104,116,259,428,353,156,79,34
E01000275,Barnet 012A,1744,93,96,113,50,97,233,413,253,173,134,89
E01000276,Barnet 020A,1537,86,132,172,71,50,117,342,303,151,68,45
E01000277,Barnet 012B,1648,99,77,70,44,82,365,404,210,149,93,55
E01000278,Barnet 020B,1476,78,130,161,48,51,111,355,278,136,90,38
E01000279,Barnet 007C,1365,44,55,119,73,67,103,223,325,195,106,55
E01000280,Barnet 007D,1338,62,75,86,52,52,96,251,313,207,108,36
E01000281,Barnet 008D,1789,157,115,119,46,51,382,516,205,98,50,50
E01000282,Barnet 008E,1808,110,121,125,74,83,230,435,332,152,98,48
E01000283,Barnet 012C,1370,69,107,108,54,53,118,275,285,155,98,48
E01000284,Barnet 012D,1805,88,123,94,57,89,311,457,345,113,82,46
E01000285,Barnet 004A,1513,88,105,117,49,80,173,353,262,168,92,26
E01000286,Barnet 007E,1717,93,116,133,81,94,199,395,338,126,83,59
E01000287,Barnet 004B,1628,81,108,141,92,92,184,350,327,154,65,34
E01000288,Barnet 004C,1549,76,90,129,75,106,165,323,337,127,91,30
E01000289,Barnet 004D,1581,90,93,160,98,121,207,315,316,94,67,20
E01000290,Barnet 007F,1623,62,82,124,79,72,133,317,372,196,122,64
E01000291,Barnet 004E,1560,94,93,134,82,87,191,378,314,105,56,26
E01000292,Barnet 001E,1544,78,86,106,53,76,147,327,292,193,125,61
E01000293,Barnet 001F,1773,83,82,139,79,92,232,371,366,166,117,46
E01000294,Barnet 004F,1809,106,90,125,73,61,219,426,330,174,137,68
E01000295,Barnet 023B,1614,101,87,84,49,82,292,374,319,113,87,26
E01000296,Barnet 023C,1785,137,89,94,41,86,381,508,250,110,58,31
E01000297,Barnet 027D,1419,91,78,89,45,66,245,368,254,103,65,15
E01000298,Barnet 023D,1712,102,93,115,47,92,331,439,272,126,57,38
E01000299,Barnet 019A,2219,186,109,138,70,142,415,568,321,115,104,51
E01000300,Barnet 019B,1665,117,110,115,39,62,231,426,319,143,75,28
E01000301,Barnet 020C,1496,93,111,128,54,57,153,354,270,142,87,47
E01000302,Barnet 019C,1799,115,108,99,51,91,250,524,307,129,74,51
E01000303,Barnet 020D,1496,105,105,106,54,57,175,350,297,123,83,41
E01000304,Barnet 020E,1556,86,83,100,52,81,300,387,271,132,47,17
E01000305,Barnet 036B,1622,85,76,82,69,93,337,414,271,104,68,23
E01000306,Barnet 036C,1968,135,65,92,49,130,456,517,287,126,69,42
E01000307,Barnet 039D,1652,101,91,135,63,119,289,380,258,111,70,35
E01000308,Barnet 036D,2110,171,80,94,54,165,563,480,296,123,64,20
E01000309,Barnet 031D,2051,101,122,177,74,148,379,491,313,132,76,38
E01000310,Barnet 034C,2194,119,119,138,74,156,475,452,369,144,102,46
E01000311,Barnet 034D,1771,146,213,211,96,113,227,347,223,103,61,31
E01000312,Barnet 036E,1772,101,92,125,75,98,250,436,459,90,32,14
E01000313,Barnet 036F,1901,109,110,122,64,107,399,457,336,111,60,26
E01000314,Barnet 032F,2167,97,109,136,92,227,393,515,369,122,64,43
E01000315,Barnet 022F,1700,66,100,143,97,112,224,327,406,138,57,30
E01000316,Barnet 027E,2288,139,149,191,97,105,368,582,402,149,87,19
E01000317,Barnet 019D,1584,76,96,143,49,78,215,379,277,135,100,36
E01000318,Barnet 019E,1926,60,125,185,116,86,219,408,353,185,121,68
E01000319,Barnet 027F,1404,76,89,146,64,51,157,341,269,110,72,29
E01000320,Barnet 011D,1937,105,112,104,72,102,295,434,370,173,108,62
E01000321,Barnet 012E,1963,106,93,112,44,106,397,501,326,151,74,53
E01000322,Barnet 011E,1856,115,132,153,58,66,272,452,293,159,104,52
E01000323,Barnet 019F,2366,110,118,143,55,142,471,630,404,136,98,59
E01000324,Barnet 015F,1833,79,98,207,90,90,208,391,406,145,86,33
E01000325,Bexley 014A,1647,94,87,120,83,106,160,325,355,166,109,42
E01000326,Bexley 014B,1382,114,110,97,35,64,254,321,211,94,63,19
E01000327,Bexley 017A,1629,82,91,141,65,82,135,307,345,202,126,53
E01000328,Bexley 017B,1637,85,88,151,69,82,159,328,305,173,123,74
E01000329,Bexley 017C,1695,122,129,121,72,86,231,347,331,131,88,37
E01000330,Bexley 017D,1656,95,88,103,49,75,217,329,330,178,122,70
E01000331,Bexley 017E,1684,128,111,155,84,86,213,359,308,120,83,37
E01000332,Bexley 005A,1595,83,91,102,56,94,200,306,304,163,131,65
E01000333,Bexley 003A,1914,142,127,143,81,92,294,411,324,156,101,43
E01000334,Bexley 006A,1674,96,107,150,67,87,203,333,325,167,101,38
E01000335,Bexley 003B,2726,229,197,181,104,171,569,661,410,133,54,17
E01000336,Bexley 003C,1998,154,165,194,91,132,296,443,327,113,61,22
E01000337,Bexley 003D,1738,133,129,146,82,93,277,356,332,119,49,22
E01000338,Bexley 003E,1854,103,137,145,89,97,299,439,345,110,72,18
E01000339,Bexley 025A,1620,92,105,134,89,99,184,295,327,158,92,45
E01000340,Bexley 018A,1584,117,95,102,60,94,180,315,311,168,96,46
E01000341,Bexley 022A,1540,66,76,114,66,93,143,267,345,176,142,52
E01000342,Bexley 022B,1524,78,98,107,65,73,212,306,340,124,94,27
E01000343,Bexley 022C,1509,80,103,122,75,69,169,304,308,154,90,35
E01000344,Bexley 025B,1589,79,91,126,79,110,175,313,315,151,110,40
E01000345,Bexley 022D,1342,62,85,103,55,77,151,239,317,149,82,22
E01000346,Bexley 021A,1592,99,105,105,72,85,203,312,316,157,96,42
E01000347,Bexley 021B,1521,103,102,90,76,81,213,267,276,166,110,37
E01000348,Bexley 020A,1514,77,80,133,68,84,135,324,331,143,108,31
E01000349,Bexley 020B,1726,109,113,123,73,91,169,340,332,197,121,58
E01000350,Bexley 021C,1487,90,77,108,79,110,182,291,300,136,77,37
E01000351,Bexley 024A,1613,110,86,97,54,93,184,312,336,149,147,45
E01000352,Bexley 021D,1617,89,100,139,71,96,208,318,314,140,101,41
